Product description (HS),Category,WF Amount,Total WF
"Rape/colza sed oil-cake&oth solid residues,whether/not ground/pellet",,"837
114
165",1116
"Raspberries, blackberries, mulberries and loganberries, fresh",,"293
53
67",413
"Raspberries,mulberries,etc uncook,steam/boil in water sweetend/nt,froz",,"293
53
67",413
"Raw sugar, beet",,"535
167
162",864
"Raw sugar, cane",,"1107
455
104",1666
"Refined sugar, in solid form, nes",,"1184
487
111",1782
"Refined sugar,in solid form,containg added flavoring or color",,"1184
487
111",1782
Rice flour,,"1800
535
293",2628
Rice groats and meal,,"1527
454
249",2230
Rice in the husk (paddy or rough),,"1146
341
187",1674
"Rice, broken",,"1710
509
278",2497
"Rice, husked (brown)",,"1488
443
242",2173
"Rice, semi-milled or wholly milled, whether or not ploished or glazed",,"1653
492
269",2414
Roots and tubers nes,,"348
15
22",385
Rye,,"1419
25
99",1543
Rye flour,,"1774
32
124",1930
"Safflower seeds, whether or not broken",,"6000
938
283",7221
"Salad beetroot,salsif,celeriac,radish&sim edible roots, fresh/chilld nes",,"348
15
22",385
Seed cotton,,"2282
1306
440",4028
"Sesame oil&its fractions whether/not refind,but not chemically modifid",,"19674
1183
936",21793
"Sesamum seeds, whether or not broken",,"8460
509
403",9372
"Shea nuts (karite nuts), whether or not broken",,"3230
131
61",3422
Sisal,,"6112
708
222",7042
"Sisal and other textile fibres of the genus Agave, raw",,"6112
708
222",7042
Sisal textile fibres processed but not spun;tow&waste of sisal fibres,,"6791
787
246",7824
Sour cherries,,"1098
213
99",1410
Soy burger,,"3574
123
65",3762
Soy milk,,"3574
123
65",3762
Soya bean flour and meals,,"2397
83
44",2524
Soya beans,,"2037
70
37",2144
Soya curd,,"2397
83
44",2524
Soya paste,,"543
19
10",572
Soya sauce,,"582
20
11",613
"Soya-bean oil and its fractions, refined but not chemically modified",,"3980
137
73",4190
"Soya-bean oil crude, whether or not degummed",,"3900
135
71",4106
"Soya-bean oil-cake&oth solid residues,whether or not ground or pellet",,"1690
58
31",1779
Spices nes,,"2735
242
390",3367
"Spinach, N-Z spinach and orache spinach (garden spinach), frozen",,"338
39
457",834
"Spinach,N-Z spinach & orache spinach (garden spinach),fresh or chilled",,"118
14
160",292
Spirits obtained by distilling grape wine or grape marc,,"607
138
124",869
"Stone fruit, Nes",,"868
1049
136",2053
Strawberries provis preservd but unsuitable f immediate consumption,,"201
109
37",347
"Strawberries, fresh",,"201
109
37",347
"Strawberries,uncookd o steamd o boild in water,sweetend o not,frozen",,"201
109
37",347
String beans,,"301
104
143",548
"Sugar beet, fresh or dried, whether or not ground",,"82
26
25",133
"Sugar cane, fresh or dried, whether or not ground",,"139
57
13",209
"Sugar crops, nes",,"980
-
94",1074
"Sugar nes, including invert sugar",,"9795
-
935",10730
"Sunflower sed oil-cake&oth solid residues,whether/not ground/pellet",,"1215
60
81",1356
"Sunflower seeds, whether or not broken",,"3017
148
201",3366
Sunflower-sed/safflower oil&their fractions refind but nt chem modifid,,"6088
299
405",6792
"Sunflower-seed or safflower oil, crude",,"5967
293
397",6657
"Sweet corn, frozen",,"455
157
88",700
"Sweet potatoes, fresh or dried, whether or not sliced or pelleted",,"324
5
53",382
Tapioca of cassava,,"2750
1
66",2817
Tapioca of potatoes,,"955
165
317",1437
Taro (cocoyam),,"587
3
15",605
Tea,,"7232
898
726",8856
Tobacco refuse,,"2021
205
700",2926
"Tobacco, unmanufactured, not stemmed or stripped",,"2021
205
700",2926
"Tobacco, unmanufactured, partly or wholly stemmed or stripped",,"2021
205
700",2926
"Tomato juice unfermented&not spirited,whether or not sugared or sweet",,"135
79
53",267
"Tomato juice, concentrated",,"539
316
213",1068
Tomato ketchup,,"270
158
107",535
Tomato paste,,"431
253
171",855
Tomato puree,,"360
211
142",713
"Tomato, dried",,"2157
1265
853",4275
"Tomatoes, fresh or chilled",,"108
63
43",214
Triticale,,"826
38
89",953
"True hemp fibre (Cannabis sativa l), raw or retted",,"1824
-
624",2448
True hemp fibre otherwise processd but not spun;tow&waste of true hemp,,"2026
-
693",2719
Turmeric (curcuma),,"1525
40
92",1657
"Urd,mung,black/green gram beans drid shelld,whether/not skinnd/split",,"2217
250
650",3117
Vanilla beans,,"86392
39048
1065",126505
Vegetable products nes used primarily for human consumption,,"205
33
101",339
"Vegetable tex fib nes,processd nt spun;tow,noils&waste of these fibres",,"6440
157
300",6897
"Vegetable textile fibres nes, raw",,"5796
142
270",6208
"Vegetables and mixtures dried, but not further prepared nes",,"584
94
288",966
Vegetables nes&mixtures provis presvd but nt f immediate consumptn,,"205
33
101",339
"Vegetables, fresh or chilled nes",,"205
33
101",339
"Vegetables, frozen nes",,"292
47
144",483
Vermouth&oth grape wines flav w plants o arom subst in ctnr </= 2 l,,"607
138
124",869
Vermouth&oth grape wines flav with plants or arom subst in ctnr > 2 l,,"607
138
124",869
Vetches,,"2031
109
213",2353
"Walnuts in shell, fresh or dried",,"2805
1299
814",4918
"Walnuts, fresh or dried, shelled or peeled",,"5293
2451
1536",9280
Watermelons,,"150
25
63",238
"Wheat (Durum wheat, Wheat nes and meslin)",,"1277
342
207",1826
Wheat bread,,"1124
301
183",1608
"Wheat gluten, whether or not dried",,"2928
785
476",4189
Wheat groats and meal,,"1423
382
231",2036
Wheat or meslin flour,,"1292
347
210",1849
Wheat pellets,,"1423
382
231",2036
"Wheat, starch",,"1004
269
163",1436
Yams,,"341
0
1",342
Yautia (cocoyam),,"849
22
11",882
